Date,Year,Month,Potato_Price_CWT,Real_Potato_Price,CPI_AllItems,CPI_Vegetables,PPI_FarmProducts,Avg_Temp_F,Precipitation_inch,Annual_Production_CWT,Price_Imputed
1995-01-01,1995,1,4.83,3.2093,150.5,147.4,76.5,33.08,3.18,445099000.0,0
1995-02-01,1995,2,4.97,3.2936,150.9,147.6,82.5,37.36,1.6,445099000.0,0
1995-03-01,1995,3,5.37,3.5516,151.2,148.1,80.9,43.34,2.99,445099000.0,0
1995-04-01,1995,4,5.41,3.5639,151.8,148.3,86.8,49.41,2.82,445099000.0,0
1995-05-01,1995,5,5.86,3.8527,152.1,148.6,92.3,58.62,4.1,445099000.0,0
1995-06-01,1995,6,7.12,4.6719,152.4,148.8,85.9,67.53,3.22,445099000.0,0
1995-07-01,1995,7,8.75,5.7339,152.6,149.1,91.3,73.53,2.65,445099000.0,0
1995-08-01,1995,8,6.64,4.3427,152.9,149.4,96.9,74.3,2.66,445099000.0,0
1995-09-01,1995,9,5.76,3.7622,153.1,149.6,102.0,64.67,2.2,445099000.0,0
1995-10-01,1995,10,6.3,4.1042,153.5,150.0,104.8,54.45,2.63,445099000.0,0
1995-11-01,1995,11,6.39,4.1574,153.7,150.2,115.2,42.03,2.37,445099000.0,0
1995-12-01,1995,12,6.33,4.1131,153.9,150.4,134.7,33.42,2.25,445099000.0,0
1996-01-01,1996,1,6.65,4.2986,154.7,150.6,134.2,29.7,2.82,499254000.0,0
1996-02-01,1996,2,6.92,4.4645,155.0,150.9,119.5,35.69,1.89,499254000.0,0
1996-03-01,1996,3,7.51,4.8296,155.5,151.2,131.3,39.02,2.24,499254000.0,0
1996-04-01,1996,4,7.83,5.016,156.1,151.6,134.7,50.65,2.56,499254000.0,0
1996-05-01,1996,5,8.09,5.1726,156.4,152.0,139.8,60.96,3.32,499254000.0,0
1996-06-01,1996,6,8.18,5.2202,156.7,152.3,140.9,69.84,2.86,499254000.0,0
1996-07-01,1996,7,8.02,5.1083,157.0,152.8,142.0,73.62,3.11,499254000.0,0
1996-08-01,1996,8,5.59,3.556,157.2,153.1,135.0,72.41,2.66,499254000.0,0
1996-09-01,1996,9,4.93,3.1262,157.7,153.5,123.1,63.45,3.44,499254000.0,0
1996-10-01,1996,10,4.76,3.0088,158.2,154.2,112.4,53.64,2.49,499254000.0,0
1996-11-01,1996,11,4.43,2.7914,158.7,154.7,113.0,39.63,3.0,499254000.0,0
1996-12-01,1996,12,4.32,2.7153,159.1,155.0,104.2,33.91,3.28,499254000.0,0
1997-01-01,1997,1,4.22,2.6474,159.4,155.3,107.4,29.97,2.81,467091000.0,0
1997-02-01,1997,2,4.56,2.8554,159.7,155.6,110.8,36.05,2.38,467091000.0,0
1997-03-01,1997,3,4.64,2.9036,159.8,156.0,114.7,44.65,2.44,467091000.0,0
1997-04-01,1997,4,4.67,2.9206,159.9,156.2,109.0,47.91,2.99,467091000.0,0
1997-05-01,1997,5,5.31,3.3208,159.9,156.3,108.4,59.38,2.78,467091000.0,0
1997-06-01,1997,6,5.67,3.5393,160.2,156.6,110.9,68.29,3.4,467091000.0,0
1997-07-01,1997,7,5.66,3.5287,160.4,157.1,92.4,73.17,2.7,467091000.0,0
1997-08-01,1997,8,6.31,3.9241,160.8,157.4,97.1,71.73,2.68,467091000.0,0
1997-09-01,1997,9,5.08,3.1514,161.2,157.8,99.7,66.4,2.54,467091000.0,0
1997-10-01,1997,10,4.93,3.0526,161.5,158.2,99.1,53.91,2.52,467091000.0,0
1997-11-01,1997,11,5.12,3.1664,161.7,158.6,91.5,40.86,2.28,467091000.0,0
1997-12-01,1997,12,5.36,3.3127,161.8,159.0,105.9,34.0,2.3,467091000.0,0
1998-01-01,1998,1,5.41,3.3395,162.0,159.2,97.8,34.99,3.35,475667000.0,0
1998-02-01,1998,2,5.88,3.6296,162.0,159.6,112.7,38.71,3.32,475667000.0,0
1998-03-01,1998,3,6.41,3.9568,162.0,159.9,102.6,41.32,3.22,475667000.0,0
1998-04-01,1998,4,6.27,3.8656,162.2,160.2,94.1,51.06,2.56,475667000.0,0
1998-05-01,1998,5,6.46,3.9729,162.6,160.6,91.6,62.46,2.62,475667000.0,0
1998-06-01,1998,6,6.13,3.7654,162.8,160.7,87.4,68.11,3.32,475667000.0,0
1998-07-01,1998,7,5.78,3.5417,163.2,161.1,84.8,75.45,2.86,475667000.0,0
1998-08-01,1998,8,5.38,3.2925,163.4,161.5,77.2,73.99,2.41,475667000.0,0
1998-09-01,1998,9,5.08,3.107,163.5,162.1,83.9,68.95,2.51,475667000.0,0
1998-10-01,1998,10,4.55,2.7761,163.9,162.3,83.4,55.11,2.97,475667000.0,0
1998-11-01,1998,11,5.02,3.0591,164.1,162.6,82.9,44.89,2.63,475667000.0,0
1998-12-01,1998,12,5.29,3.2178,164.4,163.0,82.4,35.55,2.08,475667000.0,0
1999-01-01,1999,1,5.5,3.3394,164.7,163.5,81.9,33.78,3.13,478093000.0,0
1999-02-01,1999,2,5.75,3.4912,164.7,163.8,81.6,39.49,1.92,478093000.0,0
1999-03-01,1999,3,6.12,3.7136,164.8,164.2,81.3,42.78,2.19,478093000.0,0
1999-04-01,1999,4,6.5,3.918,165.9,164.5,80.08,51.55,2.87,478093000.0,0
1999-05-01,1999,5,6.06,3.6506,166.0,164.6,78.86,60.04,2.91,478093000.0,0
1999-06-01,1999,6,6.54,3.9398,166.0,164.6,77.64,68.29,3.31,478093000.0,0
1999-07-01,1999,7,7.35,4.4091,166.7,165.1,76.42,74.28,2.58,478093000.0,0
1999-08-01,1999,8,5.91,3.5368,167.1,165.6,75.2,72.88,2.29,478093000.0,0
1999-09-01,1999,9,5.33,3.1764,167.8,165.8,70.9,64.33,2.52,478093000.0,0
1999-10-01,1999,10,4.98,2.9625,168.1,166.2,74.5,54.75,1.57,478093000.0,0
1999-11-01,1999,11,5.58,3.3135,168.4,166.5,74.5,48.11,1.44,478093000.0,0
1999-12-01,1999,12,5.68,3.3649,168.8,166.8,74.5,36.1,1.73,478093000.0,0
2000-01-01,2000,1,5.56,3.2841,169.3,167.2,73.7,33.57,2.14,513544000.0,0
2000-02-01,2000,2,5.78,3.4,170.0,167.6,72.8,39.78,2.12,513544000.0,0
2000-03-01,2000,3,6.14,3.5906,171.0,167.9,79.7,46.02,2.44,513544000.0,0
2000-04-01,2000,4,6.49,3.7975,170.9,168.1,86.8,52.57,2.32,513544000.0,0
2000-05-01,2000,5,6.28,3.6682,171.2,168.3,87.33611111111111,63.12,2.66,513544000.0,0
2000-06-01,2000,6,5.97,3.4669,172.2,168.6,87.87222222222222,69.01,3.45,513544000.0,0
2000-07-01,2000,7,6.58,3.8101,172.7,169.1,88.40833333333333,73.85,2.3,513544000.0,0
2000-08-01,2000,8,5.32,3.0805,172.7,169.5,88.94444444444444,74.01,1.91,513544000.0,0
2000-09-01,2000,9,4.79,2.7592,173.6,170.0,89.48055555555555,65.55,2.18,513544000.0,0
